hotel_name,rating,review_content
marino-beach-colombo, 9.0 ,"Amazing pool on the roof, very good breakfast The menu for dining at room was a bit poor. Unfortunately the building site next to the hotel was invading the peace"
marino-beach-colombo, 9.0 ,"Clean, ftiendly staff, unbelievable pool, very good gym, fast wifi, good bathroom, early check-in without problem. Transfer from and to airport Food in restaurants could be much better, construction site was nearby, thus it was too noisy at the day time "
marino-beach-colombo, 10 ,"Great place, loved it!"
marino-beach-colombo, 10 ,Great food and great rooms. Great price. The bell man Shehan provides an excellent and professional service - he is to be commended. Will definitely be back next time I am in Colombo. Enjoyed everything 
marino-beach-colombo, 10 ,"Perfect place for a lazy day after the trip. Beautiful rooftop garden with an infinity pool, tasty buffet with Sri Lankan options and very comfortable rooms. Everything was fine."
marino-beach-colombo, 8.0 ,"Awsome infinity pool, rooftop garden, freindly staff Water contamination inside bathroom"
marino-beach-colombo, 10 ,The service was great. Location. Family comfort
marino-beach-colombo, 10 ,Great place with amazing rooms and staff! Nothing
marino-beach-colombo, 10 ,"Although the staff was highly kind and very helpful and friendly, the hotel owners should wducate them a little more so that they can give more accurate information to the guests."
marino-beach-colombo, 10 ,"Staff were excellent. Special thanks to Supun , the lobby manager and our taxi driver also named Supun. They really  gave us a taste of top SriLankan service. Our twilight tour of Colombo with Supun was just fabulous. Hotel was clean, restaurants top class. Only stayed two days, but will certainly use this hotel when we return to Colombo. Didn’t like the lift to the mall allowing access to the hotel lobby. Thought this was a security risk."
marino-beach-colombo, 2.9 ,"Nothing Dishonest staff
Lack of management and accountability 
I booked a panoramic king room for 2 nights, despite informing the hotel 5 times before I arrived that I had booked the room from the night before so I could check in on arrival early in the morning they STILL gave the room to another guest.
This was bad enough but at check in they neglected to tell me this, the receptionist happily billed my credit card and gave me a room which when I opened the door instantly realised it wasn’t the room I had booked.
The receptionist did not apologise and was completely disinterested in the fact I was not given the correct room, I was then told I ‘should’ have been there the day before so I explained again that I had booked the room from the previous night so I could check in on arrival.
What followed was 14 hours of being promised my room would be ready only to be told it wasn’t, this went on for hours to the point where I took my case and said I wanted to go to another hotel.
They gave me a ‘suite’ which was nowhere near what I would call a suite, I was exhausted at this point having travelled for 15 hours.
I could go on and on but in a nutshell in no way is this a 5 star hotel or even a 4 star hotel. The staff are incompetent, the hotel manager is elusive and would not show up to resolve the issue.
In my almost 30 years of travelling I have never encountered such poor customer service, dishonest and disinterested staff.
I will add that at the 11th hour they tried to make up for it by giving me a free dinner and refunded one night but this in no way made up for the catastrophic experience I had which completely ruined my first impression of Sri Lanka.
This hotel is not worth the money, the location is poor and run down. 
There are far better hotels and locations in Colombo.
"
marino-beach-colombo, 6.7 ,"The room is big n clean The staffs is not so friendly, especially the limo side. When u ask for water must make sure ask whether chargeable "
marino-beach-colombo, 5.8 ,"Friendly staff This hotel charged me more than the price shown on Booking.comThe price was USD 92 however they charged me USD 158 with no explanation to it. I would like to advise future customers to be aware of those unexplainable charges. I agrees for some taxes but this is extremely at higher side . Also a lobby manager who was in the lobby at the time I left wasn’t a customer oriented he was swollen headed guy and felt like he was not suitable for this job..."
marino-beach-colombo, 5.0 ,sea said service is nothing....and staffs are not traind as  well...need more ....etc
marino-beach-colombo, 7.5 ,"Clean room, comfortable bed Room service food was cold .  I had asked for car to be ordered for airport and they didn't do it, even after I had checked to ensure it was done.  Poolside service was terrible. I has to ask for drinks menu, staff never followed up to see if more was wanted "
marino-beach-colombo, 6.2 ,It is new hotel but still they have to improve their managment Poor managment
marino-beach-colombo, 7.5 ,"Good design Good material choices. You can’t spend time on balconies wich is very noisy and disturbing,No cellular network inside"
marino-beach-colombo, 8.0 ,some noise middle of the night and it is really disturbing
marino-beach-colombo, 10 ,Facilities good and nice view. 
marino-beach-colombo, 10 ,"pool is superb. well cleaned Food was really goodroom was so quite and comfortableMany TV channels were available with good selectionParking was ample and trouble free  So friendly staff Good place to relax door lock was malfunctioning. Burglar alarm rings until it pushes so hard"
marino-beach-colombo, 6.7 ,Breakfast menu good and the rooms were comfy. Mosquitos inside the room and balcony. The breakfast menu was always the same not much variety. The wait for tea was very long and the tea cups nearly burnt my fingers
marino-beach-colombo, 7.1 ,"Very clean and new  Late of service or they are busy ,, some time there is noise from upstairs also in booking they are not clear about the hotel side views"
marino-beach-colombo, 6.2 ,"Staff were not hospitable. Not punctual in getting the cab ready at the said time. Construction work still going on, felt cheated when they informed at check in."
marino-beach-colombo, 7.5 ,"Very clean hotell and new , the pool on the top is spacious. Check in and check out, the services in s also too slow."
marino-beach-colombo, 7.5 ,"Huge room, lovely bed and bathroom It's a brand new hotel, so one expects teething issues.  We arrived very late the first night and couldn't figure out where the noise outside our room was coming from.  Called reception at 1am but nothing came of that.  When we woke we could see the culprit - our room was a few metres from the industrial extraction fans that formed part of the air con for the building and there was no soundproofing.   Reception staff were vaguely accommodating but the two other rooms they eventually showed us were no good either - one was just as noisy, the other smelled/damp.  So we checked out and moved somewhere else.  (Staff in general don't seem to know what they are doing - e.g. the guy on the main door directed us straight to the underground garage on arrival rather than letting us unload our bags)"
